Ensembl	logFC	FDR	SYMBOL	Significance
ENSG00000096060	1.253255333	5.85E-07	FKBP5	Up
ENSG00000120437	-1.175637259	5.86E-07	ACAT2	Down
ENSG00000074855	1.360949191	6.19E-07	ANO8	Up
ENSG00000052802	-1.040332707	6.26E-07	MSMO1	Down
ENSG00000110077	1.773986532	6.46E-07	MS4A6A	Up
ENSG00000197045	-0.831868712	7.09E-07	GMFB	Down
ENSG00000110719	2.777891268	7.09E-07	TCIRG1	Up
ENSG00000124762	1.848131728	7.71E-07	CDKN1A	Up
ENSG00000130175	1.107013743	7.71E-07	PRKCSH	Up
ENSG00000158195	0.917887826	7.73E-07	WASF2	Up
ENSG00000119688	1.04528165	7.73E-07	ABCD4	Up
ENSG00000154803	1.147927364	7.73E-07	FLCN	Up
ENSG00000185022	2.015878818	7.77E-07	MAFF	Up
ENSG00000127184	-0.964953145	7.98E-07	COX7C	Down
ENSG00000173110	1.963441337	7.98E-07	HSPA6	Up
ENSG00000064886	2.602056276	8.87E-07	CHI3L2	Up
ENSG00000129636	-0.946680976	8.95E-07	ITFG1	Down
ENSG00000179841	-1.000297194	9.00E-07	AKAP5	Down
ENSG00000215915	1.858923775	1.04E-06	ATAD3C	Up
ENSG00000143933	-0.965621578	1.17E-06	CALM2	Down
ENSG00000143382	2.417853145	1.19E-06	ADAMTSL4	Up
ENSG00000111077	1.36785072	1.23E-06	TNS2	Up
ENSG00000215788	1.52395593	1.27E-06	TNFRSF25	Up
ENSG00000006747	1.58151072	1.29E-06	SCIN	Up
ENSG00000240583	1.725110155	1.29E-06	AQP1	Up
ENSG00000112972	-1.097103829	1.31E-06	HMGCS1	Down
ENSG00000054690	1.015362691	1.33E-06	PLEKHH1	Up
ENSG00000180353	1.258344513	1.38E-06	HCLS1	Up
ENSG00000155659	2.018091034	1.50E-06	VSIG4	Up
ENSG00000006468	-0.982102023	1.55E-06	ETV1	Down
ENSG00000130702	2.27381029	1.55E-06	LAMA5	Up
ENSG00000125810	1.953154195	1.55E-06	CD93	Up
ENSG00000142089	1.580358877	1.64E-06	IFITM3	Up
ENSG00000283199	1.86016502	1.64E-06	C13orf46	Up
ENSG00000148826	1.269986853	1.69E-06	NKX6-2	Up
ENSG00000135926	1.197800546	1.72E-06	TMBIM1	Up
ENSG00000169871	0.99650464	1.83E-06	TRIM56	Up
ENSG00000149633	1.168548326	1.83E-06	KIAA1755	Up
ENSG00000196739	1.269735332	1.88E-06	COL27A1	Up
ENSG00000213983	1.641821794	1.96E-06	AP1G2	Up
ENSG00000177106	1.869900929	1.97E-06	EPS8L2	Up
ENSG00000106404	1.956633041	1.99E-06	CLDN15	Up
ENSG00000115963	-1.490202923	2.15E-06	RND3	Down
ENSG00000019582	1.57571122	2.21E-06	CD74	Up
ENSG00000186462	-0.946812373	2.26E-06	NAP1L2	Down
ENSG00000117298	0.99714239	2.26E-06	ECE1	Up
ENSG00000173372	2.034082779	2.26E-06	C1QA	Up
ENSG00000143772	1.154634328	2.26E-06	ITPKB	Up
ENSG00000131100	-0.903389024	2.39E-06	ATP6V1E1	Down
ENSG00000173915	-1.308398685	2.40E-06	ATP5MD	Down
ENSG00000124491	1.458119145	2.48E-06	F13A1	Up
ENSG00000086300	-1.058812926	2.48E-06	SNX10	Down
ENSG00000221995	1.178185416	2.53E-06	TIAF1	Up
ENSG00000187398	-1.008924312	2.54E-06	LUZP2	Down
ENSG00000173039	1.164787742	2.54E-06	RELA	Up
ENSG00000149591	1.414270942	2.54E-06	TAGLN	Up
ENSG00000113916	1.197052492	2.55E-06	BCL6	Up
ENSG00000100345	0.860950918	2.59E-06	MYH9	Up
ENSG00000088827	1.957187518	2.62E-06	SIGLEC1	Up
ENSG00000114993	1.08952121	2.64E-06	RTKN	Up
ENSG00000108960	-1.155863032	2.68E-06	MMD	Down
ENSG00000176046	1.217631183	2.72E-06	NUPR1	Up
ENSG00000169288	-1.110538153	2.75E-06	MRPL1	Down
ENSG00000048540	-0.81993598	2.76E-06	LMO3	Down
ENSG00000067064	-0.871272	2.82E-06	IDI1	Down
ENSG00000105697	3.543499717	2.82E-06	HAMP	Up
ENSG00000004776	1.683722663	2.82E-06	HSPB6	Up
ENSG00000152580	-1.133176416	2.89E-06	IGSF10	Down
ENSG00000188385	1.0756678	2.95E-06	JAKMIP3	Up
ENSG00000100554	-0.865929086	2.99E-06	ATP6V1D	Down
ENSG00000198502	3.227422801	3.05E-06	HLA-DRB5	Up
ENSG00000175785	1.382589389	3.05E-06	PRIMA1	Up
ENSG00000129667	1.91753837	3.22E-06	RHBDF2	Up
ENSG00000157110	1.384312173	3.23E-06	RBPMS	Up
ENSG00000061273	1.427164921	3.23E-06	HDAC7	Up
ENSG00000092929	2.367337471	3.24E-06	UNC13D	Up
ENSG00000261371	1.09505039	3.25E-06	PECAM1	Up
ENSG00000104093	-0.84160688	3.28E-06	DMXL2	Down
ENSG00000167548	1.126271131	3.36E-06	KMT2D	Up
ENSG00000112981	-1.090815291	3.56E-06	NME5	Down
ENSG00000125844	0.868742012	3.65E-06	RRBP1	Up
ENSG00000186469	-0.920388815	3.71E-06	GNG2	Down
ENSG00000141540	1.187771556	3.82E-06	TTYH2	Up
ENSG00000183864	1.164736548	3.87E-06	TOB2	Up
ENSG00000004766	-0.9297279	3.99E-06	VPS50	Down
ENSG00000169139	-0.987881794	4.00E-06	UBE2V2	Down
ENSG00000164761	1.840198707	4.00E-06	TNFRSF11B	Up
ENSG00000161896	1.4236075	4.05E-06	IP6K3	Up
ENSG00000061794	-0.902552765	4.06E-06	MRPS35	Down
ENSG00000183963	1.635212585	4.35E-06	SMTN	Up
ENSG00000157978	1.189110802	4.37E-06	LDLRAP1	Up
ENSG00000178927	1.456628372	4.37E-06	CYBC1	Up
ENSG00000136810	-0.99781157	4.38E-06	TXN	Down
ENSG00000197324	1.087300379	4.38E-06	LRP10	Up
ENSG00000266714	1.551891968	5.15E-06	MYO15B	Up
ENSG00000137497	0.866438749	5.30E-06	NUMA1	Up
ENSG00000133169	-0.911514302	5.52E-06	BEX1	Down
ENSG00000164211	-0.937813218	5.59E-06	STARD4	Down
ENSG00000010327	1.981974298	5.78E-06	STAB1	Up
ENSG00000089159	1.658903233	5.78E-06	PXN	Up
ENSG00000090857	1.015701776	5.89E-06	PDPR	Up
ENSG00000064932	1.707202361	5.96E-06	SBNO2	Up
ENSG00000182541	1.134733006	5.96E-06	LIMK2	Up
ENSG00000134982	-0.938748903	6.00E-06	APC	Down
ENSG00000184371	1.304676194	6.15E-06	CSF1	Up
ENSG00000152503	-1.008337211	6.23E-06	TRIM36	Down
ENSG00000155970	-0.973315245	6.53E-06	MICU3	Down
ENSG00000239306	0.949842937	6.80E-06	RBM14	Up
ENSG00000128340	2.823997308	7.06E-06	RAC2	Up
ENSG00000196169	2.230460068	7.21E-06	KIF19	Up
ENSG00000118515	0.801978384	7.28E-06	SGK1	Up
ENSG00000275832	1.120499906	7.63E-06	ARHGAP23	Up
ENSG00000105355	1.567946227	7.63E-06	PLIN3	Up
ENSG00000211448	-1.154274746	7.69E-06	DIO2	Down
ENSG00000164031	-0.810740896	7.80E-06	DNAJB14	Down
ENSG00000196187	1.134034039	8.29E-06	TMEM63A	Up
ENSG00000133466	1.292267602	8.35E-06	C1QTNF6	Up
ENSG00000184557	3.099785282	8.79E-06	SOCS3	Up
ENSG00000137876	-0.942193321	8.93E-06	RSL24D1	Down
ENSG00000004399	1.15395944	9.15E-06	PLXND1	Up
ENSG00000196498	1.215763197	9.27E-06	NCOR2	Up
ENSG00000068024	0.8946392	9.46E-06	HDAC4	Up
ENSG00000198836	-0.824742754	9.47E-06	OPA1	Down
ENSG00000164114	-0.964282151	9.47E-06	MAP9	Down
ENSG00000164346	-0.837123869	9.47E-06	NSA2	Down
ENSG00000117906	-0.79098252	9.47E-06	RCN2	Down
ENSG00000101276	2.541704663	9.51E-06	SLC52A3	Up
ENSG00000117155	-0.971202878	9.84E-06	SSX2IP	Down
ENSG00000181061	-0.894236018	9.87E-06	HIGD1A	Down
ENSG00000065308	1.325316535	9.87E-06	TRAM2	Up
ENSG00000127954	1.973462571	9.87E-06	STEAP4	Up
ENSG00000137076	0.793680469	9.87E-06	TLN1	Up
ENSG00000142733	1.702434422	1.00E-05	MAP3K6	Up
ENSG00000066336	1.76996125	1.01E-05	SPI1	Up
ENSG00000064666	1.93739422	1.02E-05	CNN2	Up
ENSG00000008441	0.947325577	1.07E-05	NFIX	Up
ENSG00000143106	-0.862945208	1.07E-05	PSMA5	Down
ENSG00000091140	-0.744299544	1.07E-05	DLD	Down
ENSG00000173327	1.270511575	1.09E-05	MAP3K11	Up
ENSG00000026297	1.157563681	1.10E-05	RNASET2	Up
ENSG00000104859	0.865185247	1.11E-05	CLASRP	Up
ENSG00000068650	0.892007561	1.14E-05	ATP11A	Up
ENSG00000070961	-0.905773825	1.15E-05	ATP2B1	Down
ENSG00000099875	1.298959663	1.15E-05	MKNK2	Up
ENSG00000172115	-0.789708672	1.15E-05	CYCS	Down
ENSG00000168487	1.617875478	1.15E-05	BMP1	Up
ENSG00000168438	-0.917129042	1.20E-05	CDC40	Down
ENSG00000155097	-0.842909328	1.27E-05	ATP6V1C1	Down
ENSG00000102265	1.826073585	1.29E-05	TIMP1	Up
ENSG00000196535	0.744013989	1.29E-05	MYO18A	Up
ENSG00000064393	0.75423589	1.31E-05	HIPK2	Up
ENSG00000065559	-0.807803095	1.33E-05	MAP2K4	Down
ENSG00000111726	-0.912278761	1.37E-05	CMAS	Down
ENSG00000204301	1.187664398	1.37E-05	NOTCH4	Up
ENSG00000119699	0.775444337	1.38E-05	TGFB3	Up
ENSG00000116459	-0.76051806	1.39E-05	ATP5PB	Down
ENSG00000173208	-1.009532889	1.39E-05	ABCD2	Down
ENSG00000116752	-1.073840212	1.41E-05	BCAS2	Down
ENSG00000124126	0.774942738	1.41E-05	PREX1	Up
ENSG00000138660	-0.96944378	1.43E-05	AP1AR	Down
ENSG00000130827	1.520039784	1.43E-05	PLXNA3	Up
ENSG00000160323	1.363963548	1.43E-05	ADAMTS13	Up
ENSG00000086065	-1.007211196	1.44E-05	CHMP5	Down
ENSG00000213585	-0.784626324	1.51E-05	VDAC1	Down
ENSG00000146828	1.443207776	1.51E-05	SLC12A9	Up
ENSG00000167641	1.291670804	1.51E-05	PPP1R14A	Up
ENSG00000137038	-0.896552871	1.53E-05	DMAC1	Down
ENSG00000111676	1.224555012	1.55E-05	ATN1	Up
ENSG00000172936	1.555641592	1.57E-05	MYD88	Up
ENSG00000169242	1.4493116	1.61E-05	EFNA1	Up
ENSG00000152413	-0.987475003	1.62E-05	HOMER1	Down
ENSG00000069509	-1.041974301	1.62E-05	FUNDC1	Down
ENSG00000167280	1.267108045	1.62E-05	ENGASE	Up
ENSG00000168488	1.015530157	1.62E-05	ATXN2L	Up
ENSG00000117713	0.750807464	1.63E-05	ARID1A	Up
ENSG00000071794	-0.837854575	1.65E-05	HLTF	Down
ENSG00000113100	-1.055825252	1.66E-05	CDH9	Down
ENSG00000079435	1.752904194	1.70E-05	LIPE	Up
ENSG00000059758	-0.752646785	1.70E-05	CDK17	Down
ENSG00000177103	1.078985911	1.70E-05	DSCAML1	Up
ENSG00000136717	0.798879402	1.71E-05	BIN1	Up
ENSG00000147065	0.760476462	1.75E-05	MSN	Up
ENSG00000167863	-0.828001845	1.75E-05	ATP5PD	Down
ENSG00000176720	1.783746241	1.77E-05	BOK	Up
ENSG00000196126	1.542797166	1.77E-05	HLA-DRB1	Up
ENSG00000145708	-1.555010199	1.79E-05	CRHBP	Down
ENSG00000185885	1.72611912	1.79E-05	IFITM1	Up
ENSG00000014824	-0.799137201	1.80E-05	SLC30A9	Down
ENSG00000137474	1.447578645	1.93E-05	MYO7A	Up
ENSG00000104549	-0.889999517	1.94E-05	SQLE	Down
ENSG00000087266	1.177672372	1.94E-05	SH3BP2	Up
ENSG00000198563	0.88389745	1.94E-05	DDX39B	Up
ENSG00000103148	1.370323845	1.94E-05	NPRL3	Up
ENSG00000136068	0.845816521	1.95E-05	FLNB	Up
ENSG00000127995	-0.762387165	2.00E-05	CASD1	Down
ENSG00000158715	1.530121003	2.10E-05	SLC45A3	Up
ENSG00000204525	1.164565027	2.10E-05	HLA-C	Up
ENSG00000214688	1.928599197	2.20E-05	C10orf105	Up
ENSG00000168961	1.732349801	2.24E-05	LGALS9	Up
ENSG00000213424	-1.056528816	2.27E-05	KRT222	Down
ENSG00000119661	-0.750296922	2.30E-05	DNAL1	Down
ENSG00000109472	-0.705058657	2.34E-05	CPE	Down
ENSG00000136267	-0.720807244	2.34E-05	DGKB	Down
ENSG00000165169	-1.113359411	2.34E-05	DYNLT3	Down
ENSG00000080854	1.160455307	2.41E-05	IGSF9B	Up
ENSG00000164172	-0.87216911	2.44E-05	MOCS2	Down
ENSG00000138190	-0.861528769	2.44E-05	EXOC6	Down
ENSG00000127507	1.653265805	2.45E-05	ADGRE2	Up
ENSG00000177464	1.927050251	2.46E-05	GPR4	Up
ENSG00000143127	1.429624268	2.48E-05	ITGA10	Up
ENSG00000176438	0.977225507	2.50E-05	SYNE3	Up
ENSG00000143226	1.355175628	2.52E-05	FCGR2A	Up
ENSG00000108639	1.485328818	2.58E-05	SYNGR2	Up
ENSG00000006042	1.062612523	2.59E-05	TMEM98	Up
ENSG00000169621	-1.084585124	2.59E-05	APLF	Down
ENSG00000173114	-0.875400447	2.61E-05	LRRN3	Down
ENSG00000149313	-0.788419084	2.62E-05	AASDHPPT	Down
ENSG00000125733	1.189675975	2.62E-05	TRIP10	Up
ENSG00000115233	-0.78703479	2.62E-05	PSMD14	Down
ENSG00000145681	-1.564325061	2.62E-05	HAPLN1	Down
ENSG00000104388	-0.788635956	2.62E-05	RAB2A	Down
ENSG00000141030	-0.955982622	2.62E-05	COPS3	Down
ENSG00000137491	1.114363413	2.62E-05	SLCO2B1	Up
ENSG00000149639	0.872406224	2.62E-05	SOGA1	Up
ENSG00000100146	1.282428013	2.62E-05	SOX10	Up
ENSG00000165434	-0.912911338	2.63E-05	PGM2L1	Down
ENSG00000167208	1.839037975	2.63E-05	SNX20	Up
ENSG00000136160	-1.105536372	2.65E-05	EDNRB	Down
ENSG00000130402	0.79811158	2.66E-05	ACTN4	Up
ENSG00000079805	0.896159377	2.68E-05	DNM2	Up
ENSG00000168477	1.683845809	2.71E-05	TNXB	Up
ENSG00000134569	0.832761372	2.71E-05	LRP4	Up
ENSG00000134343	-0.802133012	2.80E-05	ANO3	Down
ENSG00000023287	-0.829537109	2.89E-05	RB1CC1	Down
ENSG00000139178	1.378125283	2.90E-05	C1RL	Up
ENSG00000111647	-0.85304952	2.97E-05	UHRF1BP1L	Down
ENSG00000243156	0.771322617	2.97E-05	MICAL3	Up
ENSG00000172890	0.916381348	3.03E-05	NADSYN1	Up
ENSG00000041357	-0.952952954	3.05E-05	PSMA4	Down
ENSG00000091483	-0.762030724	3.07E-05	FH	Down
ENSG00000138138	-0.759590906	3.13E-05	ATAD1	Down
ENSG00000141867	0.87746621	3.13E-05	BRD4	Up
ENSG00000009950	1.784738437	3.15E-05	MLXIPL	Up
ENSG00000196950	-1.026932921	3.19E-05	SLC39A10	Down
ENSG00000114520	-0.908897911	3.19E-05	SNX4	Down
ENSG00000164600	-1.307940038	3.19E-05	NEUROD6	Down
ENSG00000144827	-0.750902206	3.19E-05	ABHD10	Down
ENSG00000099381	1.068250383	3.23E-05	SETD1A	Up
ENSG00000178053	-0.887608412	3.26E-05	MLF1	Down
ENSG00000141524	1.40012148	3.28E-05	TMC6	Up
ENSG00000272333	1.301491459	3.28E-05	KMT2B	Up
ENSG00000164187	-0.768466821	3.32E-05	LMBRD2	Down
ENSG00000172209	-0.90295849	3.32E-05	GPR22	Down
ENSG00000170860	-1.072811169	3.39E-05	LSM3	Down
ENSG00000137766	-0.829918335	3.39E-05	UNC13C	Down
ENSG00000167553	1.417412621	3.40E-05	TUBA1C	Up
ENSG00000104885	1.167294217	3.45E-05	DOT1L	Up
ENSG00000164916	1.104723163	3.49E-05	FOXK1	Up
ENSG00000120686	-0.843863482	3.51E-05	UFM1	Down
ENSG00000206052	-0.866551522	3.51E-05	DOK6	Down
ENSG00000184203	-0.798725502	3.52E-05	PPP1R2	Down
ENSG00000018236	-0.787251549	3.55E-05	CNTN1	Down
ENSG00000065548	-0.921564229	3.56E-05	ZC3H15	Down
ENSG00000204116	-0.783989766	3.69E-05	CHIC1	Down
ENSG00000176381	0.923593015	3.69E-05	PRR18	Up
ENSG00000171051	2.344264586	3.69E-05	FPR1	Up
ENSG00000197879	1.044951932	3.77E-05	MYO1C	Up
ENSG00000107731	1.23709075	3.83E-05	UNC5B	Up
ENSG00000096654	-0.86086949	3.83E-05	ZNF184	Down
ENSG00000138095	-0.742619145	3.87E-05	LRPPRC	Down
ENSG00000075826	1.044778505	3.87E-05	SEC31B	Up
ENSG00000095066	1.015138862	3.91E-05	HOOK2	Up
ENSG00000163630	-0.863679653	3.96E-05	SYNPR	Down
ENSG00000091844	-0.922364232	4.00E-05	RGS17	Down
ENSG00000050820	1.277647761	4.00E-05	BCAR1	Up
ENSG00000115461	0.770046542	4.09E-05	IGFBP5	Up
ENSG00000115468	0.992907734	4.10E-05	EFHD1	Up
ENSG00000277494	1.610851538	4.10E-05	GPIHBP1	Up
ENSG00000068366	-0.886847709	4.20E-05	ACSL4	Down
ENSG00000147419	-0.893927287	4.20E-05	CCDC25	Down
ENSG00000087470	-0.814736546	4.20E-05	DNM1L	Down
ENSG00000118680	-0.742869312	4.22E-05	MYL12B	Down
ENSG00000139220	-0.741075687	4.24E-05	PPFIA2	Down
ENSG00000150625	-0.708517113	4.28E-05	GPM6A	Down
ENSG00000204278	1.6419371	4.28E-05	TMEM235	Up
ENSG00000126464	1.483193835	4.36E-05	PRR12	Up
ENSG00000125730	1.113930657	4.38E-05	C3	Up
ENSG00000144369	-0.707054436	4.49E-05	FAM171B	Down
ENSG00000168291	-0.731133219	4.51E-05	PDHB	Down
ENSG00000138663	-0.861394042	4.60E-05	COPS4	Down
ENSG00000130653	1.209317263	4.67E-05	PNPLA7	Up
ENSG00000160796	1.500397158	4.68E-05	NBEAL2	Up
ENSG00000134121	-0.828501808	4.76E-05	CHL1	Down
ENSG00000108946	-0.749079568	4.77E-05	PRKAR1A	Down
ENSG00000198961	-0.813193379	4.80E-05	PJA2	Down
ENSG00000197044	-0.851262345	4.80E-05	ZNF441	Down
ENSG00000135636	1.112454243	4.80E-05	DYSF	Up
ENSG00000130309	1.097044832	4.80E-05	COLGALT1	Up
ENSG00000128016	1.7754574	4.80E-05	ZFP36	Up
ENSG00000187764	0.745115269	4.85E-05	SEMA4D	Up
ENSG00000141750	1.22890767	5.01E-05	STAC2	Up
ENSG00000004779	-0.925483956	5.02E-05	NDUFAB1	Down
ENSG00000125755	0.969708427	5.02E-05	SYMPK	Up
ENSG00000076928	1.225595725	5.06E-05	ARHGEF1	Up
ENSG00000167978	0.741354795	5.14E-05	SRRM2	Up
ENSG00000069329	-0.742267605	5.21E-05	VPS35	Down
ENSG00000120265	-0.82955707	5.26E-05	PCMT1	Down
ENSG00000186106	-0.866584842	5.26E-05	ANKRD46	Down
ENSG00000186480	-0.873999454	5.27E-05	INSIG1	Down
ENSG00000196517	1.234071261	5.27E-05	SLC6A9	Up
ENSG00000175309	0.880328801	5.35E-05	PHYKPL	Up
ENSG00000136522	-0.882916859	5.39E-05	MRPL47	Down
ENSG00000100744	-0.886820602	5.40E-05	GSKIP	Down
ENSG00000104381	-0.695070061	5.51E-05	GDAP1	Down
ENSG00000149781	2.256137015	5.52E-05	FERMT3	Up
ENSG00000133401	0.811091513	5.52E-05	PDZD2	Up
ENSG00000211445	1.776224583	5.54E-05	GPX3	Up
ENSG00000066557	-0.826615417	5.58E-05	LRRC40	Down
ENSG00000177432	-0.86222307	5.58E-05	NAP1L5	Down
ENSG00000130558	-0.785705368	5.58E-05	OLFM1	Down
ENSG00000067182	1.482803045	5.58E-05	TNFRSF1A	Up
ENSG00000166479	-0.794051725	5.61E-05	TMX3	Down
ENSG00000100519	-0.812009387	5.75E-05	PSMC6	Down
ENSG00000143375	1.096085601	5.75E-05	CGN	Up
ENSG00000108786	1.553232307	5.75E-05	HSD17B1	Up
ENSG00000141837	0.741871188	5.75E-05	CACNA1A	Up
ENSG00000179134	1.133866747	5.75E-05	SAMD4B	Up
ENSG00000198089	0.988485814	5.75E-05	SFI1	Up
ENSG00000102471	-0.726502929	5.75E-05	NDFIP2	Down
ENSG00000164919	-0.793484419	5.83E-05	COX6C	Down
ENSG00000124205	-1.241477643	5.85E-05	EDN3	Down
ENSG00000143158	-0.793740751	5.92E-05	MPC2	Down
ENSG00000204103	1.460892812	5.92E-05	MAFB	Up
ENSG00000147604	-0.710485774	5.99E-05	RPL7	Down
ENSG00000159840	1.463455148	6.04E-05	ZYX	Up
ENSG00000151006	1.49753716	6.04E-05	PRSS53	Up
ENSG00000015285	1.334624248	6.07E-05	WAS	Up
ENSG00000168653	-0.801593415	6.10E-05	NDUFS5	Down
ENSG00000184634	0.819906518	6.19E-05	MED12	Up
ENSG00000011304	0.973014947	6.20E-05	PTBP1	Up
ENSG00000144908	0.849704447	6.29E-05	ALDH1L1	Up
ENSG00000153956	-0.781360673	6.29E-05	CACNA2D1	Down
ENSG00000146007	-0.92012871	6.36E-05	ZMAT2	Down
ENSG00000158815	1.445236533	6.36E-05	FGF17	Up
ENSG00000172037	0.953021108	6.36E-05	LAMB2	Up
ENSG00000126822	1.018971362	6.39E-05	PLEKHG3	Up
ENSG00000135002	-0.949261056	6.58E-05	RFK	Down
ENSG00000204388	1.119909543	6.68E-05	HSPA1B	Up
ENSG00000145692	-1.916744692	6.70E-05	BHMT	Down
ENSG00000164403	1.442576166	6.70E-05	SHROOM1	Up
ENSG00000107438	1.421435781	6.70E-05	PDLIM1	Up
ENSG00000100292	1.941278829	6.70E-05	HMOX1	Up
ENSG00000080224	-0.725799377	6.80E-05	EPHA6	Down
ENSG00000171951	-1.003012753	6.81E-05	SCG2	Down
ENSG00000185736	0.914642896	6.84E-05	ADARB2	Up
ENSG00000107738	1.509102667	6.89E-05	VSIR	Up
ENSG00000167524	0.882193292	6.92E-05	RSKR	Up
ENSG00000139718	1.05516524	6.94E-05	SETD1B	Up
ENSG00000064703	-0.903803625	7.07E-05	DDX20	Down
ENSG00000118308	-0.96100815	7.07E-05	LRMP	Down
