Ensembl	logFC	FDR	SYMBOL	Significance
ENSG00000160194	0.495766205	0.007752608	NDUFV3	Triplicated
ENSG00000160193	0.881828584	0.008066303	WDR4	Triplicated
ENSG00000183067	0.907032104	0.009623998	IGSF5	Triplicated
ENSG00000205927	0.659753521	0.012282925	OLIG2	Triplicated
ENSG00000160214	0.852014318	0.012554612	RRP1	Triplicated
ENSG00000160199	0.548884872	0.023501635	PKNOX1	Triplicated
ENSG00000159263	1.211656173	0.02894478	SIM2	Triplicated
ENSG00000185917	0.458907725	0.028961135	SETD4	Triplicated
ENSG00000157601	0.534656979	0.029959841	MX1	Triplicated
ENSG00000142149	0.650814246	0.032193114	HUNK	Triplicated
ENSG00000205929	1.134314634	0.034560522	C21orf62	Triplicated
ENSG00000280071	1.215185046	0.034605304	GATD3B	Triplicated
ENSG00000142197	0.520946851	0.041920984	DOP1B	Triplicated
ENSG00000160200	0.986787396	0.04832145	CBS	Triplicated
ENSG00000183570	0.639403517	0.049854064	PCBP3	Triplicated
ENSG00000157557	0.468265376	0.051182307	ETS2	Triplicated
ENSG00000155304	-0.502488468	0.056934103	HSPA13	Triplicated
ENSG00000159131	0.388028965	0.064972296	GART	Triplicated
ENSG00000154642	0.524550837	0.0658186	C21orf91	Triplicated
ENSG00000205581	0.387191719	0.068754813	HMGN1	Triplicated
ENSG00000142192	0.381665727	0.070614142	APP	Triplicated
ENSG00000159128	0.481015605	0.070614142	IFNGR2	Triplicated
ENSG00000159140	0.329983166	0.073102881	SON	Triplicated
ENSG00000154654	-0.489128852	0.073844148	NCAM2	Triplicated
ENSG00000157554	0.589602397	0.075560025	ERG	Triplicated
ENSG00000159147	0.502180365	0.080312016	DONSON	Triplicated
ENSG00000183778	0.484744703	0.085717587	B3GALT5	Triplicated
ENSG00000156239	0.377363537	0.086075011	N6AMT1	Triplicated
ENSG00000142166	0.350541742	0.091509044	IFNAR1	Triplicated
ENSG00000156299	0.372472763	0.09427861	TIAM1	Triplicated
ENSG00000160256	0.547274843	0.094894215	FAM207A	Triplicated
ENSG00000159259	0.512293453	0.100929431	CHAF1B	Triplicated
ENSG00000205726	0.321763927	0.121471057	ITSN1	Triplicated
ENSG00000160284	0.856748804	0.122187872	SPATC1L	Triplicated
ENSG00000155313	-0.307480041	0.134698477	USP25	Triplicated
ENSG00000142188	0.341441979	0.137881462	TMEM50B	Triplicated
ENSG00000160307	0.299545533	0.145929081	S100B	Triplicated
ENSG00000275464	0.825277633	0.149644266	LOC102724159	Triplicated
ENSG00000160188	0.358193633	0.16400028	RSPH1	Triplicated
ENSG00000275895	1.419115655	0.168766285	U2AF1L5	Triplicated
ENSG00000154736	-0.396663445	0.201102527	ADAMTS5	Triplicated
ENSG00000157542	0.380839597	0.217415151	KCNJ6	Triplicated
ENSG00000159231	0.493196191	0.218907611	CBR3	Triplicated
ENSG00000154721	0.276875462	0.231723358	JAM2	Triplicated
ENSG00000156273	0.292893831	0.23542233	BACH1	Triplicated
ENSG00000205758	0.256904611	0.241881503	CRYZL1	Triplicated
ENSG00000156261	-0.298358171	0.255813806	CCT8	Triplicated
ENSG00000160201	0.527426891	0.293248128	U2AF1	Triplicated
ENSG00000185272	-0.375449647	0.298296888	RBM11	Triplicated
ENSG00000185808	0.28174321	0.299090672	PIGP	Triplicated
ENSG00000156256	-0.252353201	0.316545453	USP16	Triplicated
ENSG00000154723	0.232422095	0.346442485	ATP5PF	Triplicated
ENSG00000154639	-0.20447692	0.37513721	CXADR	Triplicated
ENSG00000159086	0.220867646	0.378357775	PAXBP1	Triplicated
ENSG00000182670	-0.210067973	0.390367182	TTC3	Triplicated
ENSG00000159256	-0.207353996	0.397916249	MORC3	Triplicated
ENSG00000166265	0.298982989	0.414550557	CYYR1	Triplicated
ENSG00000154645	-0.395373309	0.422575029	CHODL	Triplicated
ENSG00000241837	-0.223133798	0.439224733	ATP5PO	Triplicated
ENSG00000160191	0.212243666	0.44021696	PDE9A	Triplicated
ENSG00000182362	0.275167024	0.444868173	YBEY	Triplicated
ENSG00000198743	0.169931517	0.479220528	SLC5A3	Triplicated
ENSG00000160221	0.9064742	0.492240194	GATD3A	Triplicated
ENSG00000156253	-0.228279566	0.499140667	RWDD2B	Triplicated
ENSG00000159200	0.165228286	0.504340096	RCAN1	Triplicated
ENSG00000157540	0.129047713	0.549857142	DYRK1A	Triplicated
ENSG00000177692	-0.194574163	0.561191312	DNAJC28	Triplicated
ENSG00000159082	0.147105788	0.577473818	SYNJ1	Triplicated
ENSG00000159267	0.128639977	0.583371859	HLCS	Triplicated
ENSG00000160207	-0.205207457	0.616349247	HSF2BP	Triplicated
ENSG00000173276	0.113847434	0.620450927	ZBTB21	Triplicated
ENSG00000243927	0.141349118	0.63547442	MRPS6	Triplicated
ENSG00000156265	0.219166791	0.645033991	MAP3K7CL	Triplicated
ENSG00000183036	-0.177405485	0.66465414	PCP4	Triplicated
ENSG00000154727	0.111169726	0.669160108	GABPA	Triplicated
ENSG00000183527	-0.124829682	0.694884479	PSMG1	Triplicated
ENSG00000155307	-0.150471248	0.716723561	SAMSN1	Triplicated
ENSG00000182093	-0.091659928	0.727709348	GET1	Triplicated
ENSG00000159055	0.131717817	0.737232797	MIS18A	Triplicated
ENSG00000171189	0.108311303	0.750534057	GRIK1	Triplicated
ENSG00000180530	-0.078967534	0.755837069	NRIP1	Triplicated
ENSG00000160223	-0.152216868	0.848320344	ICOSLG	Triplicated
ENSG00000241945	-0.160659589	0.895273837	PWP2	Triplicated
ENSG00000184900	-0.031102116	0.905797823	SUMO3	Triplicated
ENSG00000154640	-0.045926268	0.908221922	BTG3	Triplicated
ENSG00000185658	-0.023729376	0.920494517	BRWD1	Triplicated
ENSG00000198862	-0.017288878	0.94317432	LTN1	Triplicated
ENSG00000142168	0.012340108	0.964297939	SOD1	Triplicated
ENSG00000154719	0.00993135	0.976756598	MRPL39	Triplicated
ENSG00000157578	0.00589131	0.990867358	LCA5L	Triplicated
