ENSEMBL,ENTREZID,SYMBOL,GENENAME,CHR
ENSG00000054690,57475,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1",14
ENSG00000180353,3059,HCLS1,hematopoietic cell-specific Lyn substrate 1,3
ENSG00000155659,11326,VSIG4,V-set and immunoglobulin domain containing 4,X
ENSG00000006468,2115,ETV1,ETS variant transcription factor 1,7
ENSG00000130702,3911,LAMA5,laminin subunit alpha 5,20
ENSG00000125810,22918,CD93,CD93 molecule,20
ENSG00000142173,1292,COL6A2,collagen type VI alpha 2 chain,21
ENSG00000283199,100507747,C13orf46,chromosome 13 open reading frame 46,13
ENSG00000142089,10410,IFITM3,interferon induced transmembrane protein 3,11
ENSG00000148826,84504,NKX6-2,NK6 homeobox 2,10
ENSG00000135926,64114,TMBIM1,transmembrane BAX inhibitor motif containing 1,2
ENSG00000186866,23275,POFUT2,protein O-fucosyltransferase 2,21
ENSG00000169871,81844,TRIM56,tripartite motif containing 56,7
ENSG00000149633,85449,KIAA1755,KIAA1755,20
ENSG00000196739,85301,COL27A1,collagen type XXVII alpha 1 chain,9
ENSG00000213983,8906,AP1G2,adaptor related protein complex 1 subunit gamma 2,14
ENSG00000177106,64787,EPS8L2,EPS8 like 2,11
ENSG00000106404,24146,CLDN15,claudin 15,7
ENSG00000115963,390,RND3,Rho family GTPase 3,2
ENSG00000019582,972,CD74,CD74 molecule,5
ENSG00000186462,4674,NAP1L2,nucleosome assembly protein 1 like 2,X
ENSG00000117298,1889,ECE1,endothelin converting enzyme 1,1
ENSG00000173372,712,C1QA,complement C1q A chain,1
ENSG00000143772,3707,ITPKB,inositol-trisphosphate 3-kinase B,1
ENSG00000131100,529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,22
ENSG00000173915,84833,ATP5MD,ATP synthase membrane subunit DAPIT,10
ENSG00000124491,2162,F13A1,coagulation factor XIII A chain,6
ENSG00000086300,29887,SNX10,sorting nexin 10,7
ENSG00000221995,9220,TIAF1,TGFB1-induced anti-apoptotic factor 1,17
ENSG00000187398,338645,LUZP2,leucine zipper protein 2,11
ENSG00000173039,5970,RELA,"RELA proto-oncogene, NF-kB subunit",11
ENSG00000149591,6876,TAGLN,transgelin,11
ENSG00000113916,604,BCL6,BCL6 transcription repressor,3
ENSG00000100345,4627,MYH9,myosin heavy chain 9,22
ENSG00000088827,6614,SIGLEC1,sialic acid binding Ig like lectin 1,20
ENSG00000114993,6242,RTKN,rhotekin,2
ENSG00000108960,23531,MMD,monocyte to macrophage differentiation associated,17
ENSG00000176046,26471,NUPR1,"nuclear protein 1, transcriptional regulator",16
ENSG00000169288,65008,MRPL1,mitochondrial ribosomal protein L1,4
ENSG00000048540,55885,LMO3,LIM domain only 3,12
ENSG00000105697,57817,HAMP,hepcidin antimicrobial peptide,19
ENSG00000004776,126393,HSPB6,heat shock protein family B (small) member 6,19
ENSG00000067064,3422,IDI1,isopentenyl-diphosphate delta isomerase 1,10
ENSG00000152580,285313,IGSF10,immunoglobulin superfamily member 10,3
ENSG00000188385,282973,JAKMIP3,Janus kinase and microtubule interacting protein 3,10
ENSG00000100554,51382,ATP6V1D,ATPase H+ transporting V1 subunit D,14
ENSG00000175785,145270,PRIMA1,proline rich membrane anchor 1,14
ENSG00000198502,3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",6
ENSG00000129667,79651,RHBDF2,rhomboid 5 homolog 2,17
ENSG00000061273,51564,HDAC7,histone deacetylase 7,12
ENSG00000157110,11030,RBPMS,"RNA binding protein, mRNA processing factor",8
ENSG00000092929,201294,UNC13D,unc-13 homolog D,17
ENSG00000261371,5175,PECAM1,platelet and endothelial cell adhesion molecule 1,17
ENSG00000104093,23312,DMXL2,Dmx like 2,15
ENSG00000167548,8085,KMT2D,lysine methyltransferase 2D,12
ENSG00000112981,8382,NME5,NME/NM23 family member 5,5
ENSG00000125844,6238,RRBP1,ribosome binding protein 1,20
ENSG00000186469,54331,GNG2,G protein subunit gamma 2,14
ENSG00000141540,94015,TTYH2,tweety family member 2,17
ENSG00000183864,10766,TOB2,"transducer of ERBB2, 2",22
ENSG00000004766,55610,VPS50,VPS50 subunit of EARP/GARPII complex,7
ENSG00000169139,7336,UBE2V2,ubiquitin conjugating enzyme E2 V2,8
ENSG00000164761,4982,TNFRSF11B,TNF receptor superfamily member 11b,8
ENSG00000161896,117283,IP6K3,inositol hexakisphosphate kinase 3,6
ENSG00000061794,60488,MRPS35,mitochondrial ribosomal protein S35,12
ENSG00000183963,6525,SMTN,smoothelin,22
ENSG00000178927,79415,CYBC1,cytochrome b-245 chaperone 1,17
ENSG00000157978,26119,LDLRAP1,low density lipoprotein receptor adaptor protein 1,1
ENSG00000197324,26020,LRP10,LDL receptor related protein 10,14
ENSG00000136810,7295,TXN,thioredoxin,9
ENSG00000266714,80022,MYO15B,myosin XVB,17
ENSG00000137497,4926,NUMA1,nuclear mitotic apparatus protein 1,11
ENSG00000133169,55859,BEX1,brain expressed X-linked 1,X
ENSG00000164211,134429,STARD4,StAR related lipid transfer domain containing 4,5
ENSG00000089159,5829,PXN,paxillin,12
ENSG00000010327,23166,STAB1,stabilin 1,3
ENSG00000090857,55066,PDPR,pyruvate dehydrogenase phosphatase regulatory subunit,16
ENSG00000064932,22904,SBNO2,strawberry notch homolog 2,19
ENSG00000182541,3985,LIMK2,LIM domain kinase 2,22
ENSG00000134982,324,APC,APC regulator of WNT signaling pathway,5
ENSG00000184371,1435,CSF1,colony stimulating factor 1,1
ENSG00000152503,55521,TRIM36,tripartite motif containing 36,5
ENSG00000155970,286097,MICU3,mitochondrial calcium uptake family member 3,8
ENSG00000239306,10432,RBM14,RNA binding motif protein 14,11
ENSG00000128340,5880,RAC2,Rac family small GTPase 2,22
ENSG00000196169,124602,KIF19,kinesin family member 19,17
ENSG00000118515,6446,SGK1,serum/glucocorticoid regulated kinase 1,6
ENSG00000105355,10226,PLIN3,perilipin 3,19
ENSG00000275832,57636,ARHGAP23,Rho GTPase activating protein 23,17
ENSG00000211448,1734,DIO2,iodothyronine deiodinase 2,14
ENSG00000164031,79982,DNAJB14,DnaJ heat shock protein family (Hsp40) member B14,4
ENSG00000196187,9725,TMEM63A,transmembrane protein 63A,1
ENSG00000133466,114904,C1QTNF6,C1q and TNF related 6,22
ENSG00000184557,9021,SOCS3,suppressor of cytokine signaling 3,17
ENSG00000137876,51187,RSL24D1,ribosomal L24 domain containing 1,15
ENSG00000004399,23129,PLXND1,plexin D1,3
ENSG00000196498,9612,NCOR2,nuclear receptor corepressor 2,12
ENSG00000068024,9759,HDAC4,histone deacetylase 4,2
ENSG00000117906,5955,RCN2,reticulocalbin 2,15
ENSG00000164346,10412,NSA2,NSA2 ribosome biogenesis factor,5
ENSG00000164114,79884,MAP9,microtubule associated protein 9,4
ENSG00000198836,4976,OPA1,OPA1 mitochondrial dynamin like GTPase,3
ENSG00000101276,113278,SLC52A3,solute carrier family 52 member 3,20
ENSG00000117155,117178,SSX2IP,SSX family member 2 interacting protein,1
ENSG00000137076,7094,TLN1,talin 1,9
ENSG00000127954,79689,STEAP4,STEAP4 metalloreductase,7
ENSG00000065308,9697,TRAM2,translocation associated membrane protein 2,6
ENSG00000181061,25994,HIGD1A,HIG1 hypoxia inducible domain family member 1A,3
ENSG00000142733,9064,MAP3K6,mitogen-activated protein kinase kinase kinase 6,1
ENSG00000066336,6688,SPI1,Spi-1 proto-oncogene,11
ENSG00000064666,1265,CNN2,calponin 2,19
ENSG00000008441,4784,NFIX,nuclear factor I X,19
ENSG00000091140,1738,DLD,dihydrolipoamide dehydrogenase,7
ENSG00000143106,5686,PSMA5,proteasome 20S subunit alpha 5,1
ENSG00000173327,4296,MAP3K11,mitogen-activated protein kinase kinase kinase 11,11
ENSG00000026297,8635,RNASET2,ribonuclease T2,6
ENSG00000104859,11129,CLASRP,CLK4 associating serine/arginine rich protein,19
ENSG00000160179,9619,ABCG1,ATP binding cassette subfamily G member 1,21
ENSG00000068650,23250,ATP11A,ATPase phospholipid transporting 11A,13
ENSG00000070961,490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,12
ENSG00000099875,2872,MKNK2,MAPK interacting serine/threonine kinase 2,19
ENSG00000168487,649,BMP1,bone morphogenetic protein 1,8
ENSG00000172115,54205,CYCS,"cytochrome c, somatic",7
ENSG00000168438,51362,CDC40,cell division cycle 40,6
ENSG00000184787,7327,UBE2G2,ubiquitin conjugating enzyme E2 G2,21
ENSG00000155097,528,ATP6V1C1,ATPase H+ transporting V1 subunit C1,8
ENSG00000102265,7076,TIMP1,TIMP metallopeptidase inhibitor 1,X
ENSG00000196535,399687,MYO18A,myosin XVIIIA,17
ENSG00000064393,28996,HIPK2,homeodomain interacting protein kinase 2,7
ENSG00000065559,6416,MAP2K4,mitogen-activated protein kinase kinase 4,17
ENSG00000111726,55907,CMAS,cytidine monophosphate N-acetylneuraminic acid synthetase,12
ENSG00000204301,4855,NOTCH4,notch receptor 4,6
ENSG00000119699,7043,TGFB3,transforming growth factor beta 3,14
ENSG00000116459,515,ATP5PB,ATP synthase peripheral stalk-membrane subunit b,1
ENSG00000173208,225,ABCD2,ATP binding cassette subfamily D member 2,12
ENSG00000124126,57580,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",20
ENSG00000116752,10286,BCAS2,BCAS2 pre-mRNA processing factor,1
ENSG00000130827,55558,PLXNA3,plexin A3,X
ENSG00000160323,11093,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,9
ENSG00000138660,55435,AP1AR,adaptor related protein complex 1 associated regulatory protein,4
ENSG00000086065,51510,CHMP5,charged multivesicular body protein 5,9
ENSG00000167641,94274,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,19
ENSG00000146828,56996,SLC12A9,solute carrier family 12 member 9,7
ENSG00000213585,7416,VDAC1,voltage dependent anion channel 1,5
ENSG00000137038,90871,DMAC1,distal membrane arm assembly complex 1,9
ENSG00000111676,1822,ATN1,atrophin 1,12
ENSG00000172936,4615,MYD88,MYD88 innate immune signal transduction adaptor,3
ENSG00000169242,1942,EFNA1,ephrin A1,1
ENSG00000069509,139341,FUNDC1,FUN14 domain containing 1,X
ENSG00000152413,9456,HOMER1,homer scaffold protein 1,5
ENSG00000167280,64772,ENGASE,endo-beta-N-acetylglucosaminidase,17
ENSG00000168488,11273,ATXN2L,ataxin 2 like,16
ENSG00000117713,8289,ARID1A,AT-rich interaction domain 1A,1
ENSG00000071794,6596,HLTF,helicase like transcription factor,3
ENSG00000113100,1007,CDH9,cadherin 9,5
ENSG00000079435,3991,LIPE,"lipase E, hormone sensitive type",19
ENSG00000059758,5128,CDK17,cyclin dependent kinase 17,12
ENSG00000177103,57453,DSCAML1,DS cell adhesion molecule like 1,11
ENSG00000136717,274,BIN1,bridging integrator 1,2
ENSG00000147065,4478,MSN,moesin,X
ENSG00000167863,10476,ATP5PD,ATP synthase peripheral stalk subunit d,17
ENSG00000176720,666,BOK,BCL2 family apoptosis regulator BOK,2
ENSG00000196126,3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",6
ENSG00000145708,1393,CRHBP,corticotropin releasing hormone binding protein,5
ENSG00000185885,8519,IFITM1,interferon induced transmembrane protein 1,11
ENSG00000014824,10463,SLC30A9,solute carrier family 30 member 9,4
ENSG00000137474,4647,MYO7A,myosin VIIA,11
ENSG00000103148,8131,NPRL3,"NPR3 like, GATOR1 complex subunit",16
ENSG00000104549,6713,SQLE,squalene epoxidase,8
ENSG00000198563,7919,DDX39B,DExD-box helicase 39B,6
ENSG00000087266,6452,SH3BP2,SH3 domain binding protein 2,4
ENSG00000136068,2317,FLNB,filamin B,3
ENSG00000160299,5116,PCNT,pericentrin,21
ENSG00000127995,64921,CASD1,CAS1 domain containing 1,7
ENSG00000204525,3107,HLA-C,"major histocompatibility complex, class I, C",6
ENSG00000158715,85414,SLC45A3,solute carrier family 45 member 3,1
ENSG00000214688,414152,C10orf105,chromosome 10 open reading frame 105,10
ENSG00000168961,3965,LGALS9,galectin 9,17
ENSG00000213424,125113,KRT222,keratin 222,17
ENSG00000119661,83544,DNAL1,dynein axonemal light chain 1,14
ENSG00000165169,6990,DYNLT3,dynein light chain Tctex-type 3,X
ENSG00000136267,1607,DGKB,diacylglycerol kinase beta,7
ENSG00000109472,1363,CPE,carboxypeptidase E,4
ENSG00000080854,22997,IGSF9B,immunoglobulin superfamily member 9B,11
ENSG00000138190,54536,EXOC6,exocyst complex component 6,10
ENSG00000164172,4338,MOCS2,molybdenum cofactor synthesis 2,5
ENSG00000127507,30817,ADGRE2,adhesion G protein-coupled receptor E2,19
ENSG00000177464,2828,GPR4,G protein-coupled receptor 4,19
ENSG00000143127,8515,ITGA10,integrin subunit alpha 10,1
ENSG00000176438,161176,SYNE3,spectrin repeat containing nuclear envelope family member 3,14
ENSG00000143226,2212,FCGR2A,Fc fragment of IgG receptor IIa,1
ENSG00000108639,9144,SYNGR2,synaptogyrin 2,17
ENSG00000142185,7226,TRPM2,transient receptor potential cation channel subfamily M member 2,21
ENSG00000006042,26022,TMEM98,transmembrane protein 98,17
ENSG00000169621,200558,APLF,aprataxin and PNKP like factor,2
ENSG00000173114,54674,LRRN3,leucine rich repeat neuronal 3,7
ENSG00000125733,9322,TRIP10,thyroid hormone receptor interactor 10,19
ENSG00000149313,60496,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,11
ENSG00000100146,6663,SOX10,SRY-box transcription factor 10,22
ENSG00000149639,140710,SOGA1,"suppressor of glucose, autophagy associated 1",20
ENSG00000141030,8533,COPS3,COP9 signalosome subunit 3,17
ENSG00000137491,11309,SLCO2B1,solute carrier organic anion transporter family member 2B1,11
ENSG00000104388,5862,RAB2A,"RAB2A, member RAS oncogene family",8
ENSG00000145681,1404,HAPLN1,hyaluronan and proteoglycan link protein 1,5
ENSG00000115233,10213,PSMD14,"proteasome 26S subunit, non-ATPase 14",2
ENSG00000167208,124460,SNX20,sorting nexin 20,16
ENSG00000165434,283209,PGM2L1,phosphoglucomutase 2 like 1,11
ENSG00000136160,1910,EDNRB,endothelin receptor type B,13
ENSG00000130402,81,ACTN4,actinin alpha 4,19
ENSG00000079805,1785,DNM2,dynamin 2,19
ENSG00000134569,4038,LRP4,LDL receptor related protein 4,11
ENSG00000168477,7148,TNXB,tenascin XB,6
ENSG00000134343,63982,ANO3,anoctamin 3,11
ENSG00000023287,9821,RB1CC1,RB1 inducible coiled-coil 1,8
ENSG00000139178,51279,C1RL,complement C1r subcomponent like,12
ENSG00000243156,57553,MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3",22
ENSG00000111647,23074,UHRF1BP1L,UHRF1 binding protein 1 like,12
ENSG00000172890,55191,NADSYN1,NAD synthetase 1,11
ENSG00000041357,5685,PSMA4,proteasome 20S subunit alpha 4,15
ENSG00000091483,2271,FH,fumarate hydratase,1
ENSG00000141867,23476,BRD4,bromodomain containing 4,19
ENSG00000138138,84896,ATAD1,ATPase family AAA domain containing 1,10
ENSG00000009950,51085,MLXIPL,MLX interacting protein like,7
ENSG00000196950,57181,SLC39A10,solute carrier family 39 member 10,2
ENSG00000164600,63974,NEUROD6,neuronal differentiation 6,7
ENSG00000114520,8723,SNX4,sorting nexin 4,3
ENSG00000144827,55347,ABHD10,abhydrolase domain containing 10,3
ENSG00000099381,9739,SETD1A,"SET domain containing 1A, histone lysine methyltransferase",16
ENSG00000178053,4291,MLF1,myeloid leukemia factor 1,3
ENSG00000272333,9757,KMT2B,lysine methyltransferase 2B,19
ENSG00000141524,11322,TMC6,transmembrane channel like 6,17
ENSG00000172209,2845,GPR22,G protein-coupled receptor 22,7
ENSG00000164187,92255,LMBRD2,LMBR1 domain containing 2,5
ENSG00000170860,27258,LSM3,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated",3
ENSG00000137766,440279,UNC13C,unc-13 homolog C,15
ENSG00000160213,1476,CSTB,cystatin B,21
ENSG00000167553,84790,TUBA1C,tubulin alpha 1c,12
ENSG00000160298,54058,C21orf58,chromosome 21 open reading frame 58,21
ENSG00000104885,84444,DOT1L,DOT1 like histone lysine methyltransferase,19
ENSG00000164916,221937,FOXK1,forkhead box K1,7
ENSG00000206052,220164,DOK6,docking protein 6,18
ENSG00000120686,51569,UFM1,ubiquitin fold modifier 1,13
ENSG00000184203,5504,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2,3
ENSG00000018236,1272,CNTN1,contactin 1,12
ENSG00000065548,55854,ZC3H15,zinc finger CCCH-type containing 15,2
ENSG00000204116,53344,CHIC1,cysteine rich hydrophobic domain 1,X
ENSG00000171051,2357,FPR1,formyl peptide receptor 1,19
ENSG00000176381,285800,PRR18,proline rich 18,6
ENSG00000197879,4641,MYO1C,myosin IC,17
ENSG00000107731,219699,UNC5B,unc-5 netrin receptor B,10
ENSG00000096654,7738,ZNF184,zinc finger protein 184,6
ENSG00000075826,25956,SEC31B,"SEC31 homolog B, COPII coat complex component",10
ENSG00000138095,10128,LRPPRC,leucine rich pentatricopeptide repeat containing,2
ENSG00000095066,29911,HOOK2,hook microtubule tethering protein 2,19
ENSG00000163630,132204,SYNPR,synaptoporin,3
ENSG00000050820,9564,BCAR1,"BCAR1 scaffold protein, Cas family member",16
ENSG00000091844,26575,RGS17,regulator of G protein signaling 17,6
ENSG00000115461,3488,IGFBP5,insulin like growth factor binding protein 5,2
ENSG00000277494,338328,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,8
ENSG00000115468,80303,EFHD1,EF-hand domain family member D1,2
ENSG00000068366,2182,ACSL4,acyl-CoA synthetase long chain family member 4,X
ENSG00000087470,10059,DNM1L,dynamin 1 like,12
ENSG00000147419,55246,CCDC25,coiled-coil domain containing 25,8
ENSG00000118680,103910,MYL12B,myosin light chain 12B,18
ENSG00000139220,8499,PPFIA2,PTPRF interacting protein alpha 2,12
ENSG00000204278,283999,TMEM235,transmembrane protein 235,17
ENSG00000150625,2823,GPM6A,glycoprotein M6A,4
ENSG00000126464,57479,PRR12,proline rich 12,19
ENSG00000125730,718,C3,complement C3,19
ENSG00000144369,165215,FAM171B,family with sequence similarity 171 member B,2
ENSG00000168291,5162,PDHB,pyruvate dehydrogenase E1 beta subunit,3
ENSG00000138663,51138,COPS4,COP9 signalosome subunit 4,4
ENSG00000130653,375775,PNPLA7,patatin like phospholipase domain containing 7,9
ENSG00000160796,23218,NBEAL2,neurobeachin like 2,3
ENSG00000134121,10752,CHL1,cell adhesion molecule L1 like,3
ENSG00000108946,5573,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,17
ENSG00000197044,126068,ZNF441,zinc finger protein 441,19
ENSG00000130309,79709,COLGALT1,collagen beta(1-O)galactosyltransferase 1,19
ENSG00000128016,7538,ZFP36,ZFP36 ring finger protein,19
ENSG00000198961,9867,PJA2,praja ring finger ubiquitin ligase 2,5
ENSG00000135636,8291,DYSF,dysferlin,2
ENSG00000187764,10507,SEMA4D,semaphorin 4D,9
ENSG00000141750,342667,STAC2,SH3 and cysteine rich domain 2,17
ENSG00000125755,8189,SYMPK,symplekin,19
ENSG00000004779,4706,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,16
ENSG00000277117,102723996,LOC102723996,ICOS ligand,21
ENSG00000076928,9138,ARHGEF1,Rho guanine nucleotide exchange factor 1,19
ENSG00000167978,23524,SRRM2,serine/arginine repetitive matrix 2,16
ENSG00000069329,55737,VPS35,VPS35 retromer complex component,16
ENSG00000186106,157567,ANKRD46,ankyrin repeat domain 46,8
ENSG00000120265,5110,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase,6
ENSG00000186480,3638,INSIG1,insulin induced gene 1,7
ENSG00000196517,6536,SLC6A9,solute carrier family 6 member 9,1
ENSG00000175309,85007,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,5
ENSG00000136522,57129,MRPL47,mitochondrial ribosomal protein L47,3
